frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z,is looking at object ,object identification ,object location 
"24.93866","-0.336","1.707","-3.709","0.505","-0.169","0.846","-0.271","1.708","-3.71","0.542","-0.091","0.835","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.95308","-0.335","1.707","-3.709","0.507","-0.17","0.845","-0.27","1.708","-3.71","0.544","-0.092","0.834","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.96755","-0.335","1.707","-3.709","0.51","-0.171","0.843","-0.27","1.708","-3.71","0.546","-0.093","0.832","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.98208","-0.335","1.707","-3.709","0.513","-0.171","0.841","-0.27","1.708","-3.71","0.549","-0.093","0.831","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"24.99683","-0.335","1.707","-3.709","0.516","-0.171","0.839","-0.27","1.708","-3.711","0.552","-0.094","0.829","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.01102","-0.335","1.707","-3.709","0.519","-0.171","0.837","-0.27","1.708","-3.711","0.555","-0.095","0.827","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.02458","-0.335","1.706","-3.709","0.52","-0.168","0.837","-0.27","1.708","-3.711","0.556","-0.096","0.826","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.03916","-0.335","1.706","-3.708","0.52","-0.168","0.837","-0.27","1.708","-3.711","0.558","-0.096","0.825","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.05291","-0.334","1.706","-3.708","0.522","-0.168","0.836","-0.269","1.708","-3.711","0.559","-0.095","0.823","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.06735","-0.334","1.706","-3.706","0.522","-0.167","0.836","-0.269","1.708","-3.71","0.559","-0.095","0.824","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.08131","-0.334","1.706","-3.707","0.523","-0.165","0.836","-0.269","1.708","-3.71","0.559","-0.093","0.824","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.096","-0.334","1.706","-3.706","0.521","-0.165","0.838","-0.269","1.708","-3.71","0.558","-0.092","0.825","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.10973","-0.334","1.706","-3.706","0.523","-0.165","0.836","-0.269","1.708","-3.71","0.556","-0.09","0.826","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.12401","-0.333","1.706","-3.706","0.521","-0.166","0.837","-0.268","1.708","-3.711","0.555","-0.092","0.827","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.13823","-0.333","1.706","-3.707","0.519","-0.167","0.838","-0.268","1.708","-3.711","0.552","-0.09","0.829","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.15249","-0.333","1.707","-3.707","0.519","-0.165","0.839","-0.268","1.708","-3.711","0.552","-0.09","0.829","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.16765","-0.332","1.707","-3.707","0.516","-0.167","0.84","-0.268","1.708","-3.711","0.55","-0.089","0.83","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.18189","-0.332","1.707","-3.707","0.516","-0.167","0.84","-0.267","1.708","-3.711","0.55","-0.089","0.83","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.19638","-0.332","1.707","-3.706","0.516","-0.169","0.84","-0.267","1.708","-3.711","0.549","-0.088","0.831","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.20988","-0.332","1.707","-3.706","0.514","-0.169","0.841","-0.267","1.708","-3.711","0.548","-0.089","0.832","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.22434","-0.332","1.707","-3.706","0.514","-0.168","0.841","-0.267","1.708","-3.711","0.548","-0.089","0.832","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.23886","-0.332","1.707","-3.706","0.514","-0.167","0.841","-0.267","1.708","-3.711","0.548","-0.09","0.832","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.2534","-0.332","1.707","-3.706","0.513","-0.167","0.842","-0.267","1.708","-3.711","0.548","-0.091","0.832","True","Cyan Cylander","(1.087, 1.16, -1.47)"
"25.26735","-0.332","1.707","-3.707","0.513","-0.167","0.842","-0.267","1.708","-3.711","0.547","-0.091","0.832","True","Cyan Cylander","(1.087, 1.16, -1.47)"
